run_id,model,task,config,style,attempt,result,detail,file,raw_file,export_truncated,v2_result,v2_detail,notes,checked_at
589,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,chain_of_thought,1,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/chain_of_thought/a1_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/chain_of_thought/a1_FAIL.raw.md,,NOT_CHECKED,,,
590,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,chain_of_thought,2,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/chain_of_thought/a2_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/chain_of_thought/a2_FAIL.raw.md,,NOT_CHECKED,,,
591,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,chain_of_thought,3,PASS,compiles=1 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/chain_of_thought/a3_PASS.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/chain_of_thought/a3_PASS.raw.md,,NOT_CHECKED,,,
579,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,naive,1,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a1_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a1_FAIL.raw.md,,NOT_CHECKED,,,
580,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,naive,2,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a2_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a2_FAIL.raw.md,,NOT_CHECKED,,,
581,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,naive,3,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a3_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a3_FAIL.raw.md,,NOT_CHECKED,,,
582,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,naive,4,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a4_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a4_FAIL.raw.md,,NOT_CHECKED,,,
583,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,naive,5,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a5_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/naive/a5_FAIL.raw.md,,NOT_CHECKED,,,
584,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,structured,1,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a1_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a1_FAIL.raw.md,,NOT_CHECKED,,,
585,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,structured,2,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a2_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a2_FAIL.raw.md,,NOT_CHECKED,,,
586,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,structured,3,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a3_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a3_FAIL.raw.md,,NOT_CHECKED,,,
587,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,structured,4,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a4_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a4_FAIL.raw.md,,NOT_CHECKED,,,
588,claude-sonnet-4-6,obs_table_build,Lean4-mathlib,structured,5,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a5_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_build/structured/a5_FAIL.raw.md,,NOT_CHECKED,,,
84,claude-sonnet-4-6,obs_table_build,Lean4-none,chain_of_thought,1,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a1_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a1_FAIL.raw.md,,NOT_CHECKED,,,
85,claude-sonnet-4-6,obs_table_build,Lean4-none,chain_of_thought,2,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a2_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a2_FAIL.raw.md,,NOT_CHECKED,,,
86,claude-sonnet-4-6,obs_table_build,Lean4-none,chain_of_thought,3,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a3_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a3_FAIL.raw.md,,NOT_CHECKED,,,
87,claude-sonnet-4-6,obs_table_build,Lean4-none,chain_of_thought,4,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a4_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a4_FAIL.raw.md,,NOT_CHECKED,,,
88,claude-sonnet-4-6,obs_table_build,Lean4-none,chain_of_thought,5,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a5_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/chain_of_thought/a5_FAIL.raw.md,,NOT_CHECKED,,,
74,claude-sonnet-4-6,obs_table_build,Lean4-none,naive,1,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a1_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a1_FAIL.raw.md,,NOT_CHECKED,,,
75,claude-sonnet-4-6,obs_table_build,Lean4-none,naive,2,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a2_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a2_FAIL.raw.md,,NOT_CHECKED,,,
76,claude-sonnet-4-6,obs_table_build,Lean4-none,naive,3,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a3_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a3_FAIL.raw.md,,NOT_CHECKED,,,
77,claude-sonnet-4-6,obs_table_build,Lean4-none,naive,4,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a4_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a4_FAIL.raw.md,,NOT_CHECKED,,,
78,claude-sonnet-4-6,obs_table_build,Lean4-none,naive,5,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a5_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/naive/a5_FAIL.raw.md,,NOT_CHECKED,,,
79,claude-sonnet-4-6,obs_table_build,Lean4-none,structured,1,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a1_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a1_FAIL.raw.md,,NOT_CHECKED,,,
80,claude-sonnet-4-6,obs_table_build,Lean4-none,structured,2,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a2_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a2_FAIL.raw.md,,NOT_CHECKED,,,
81,claude-sonnet-4-6,obs_table_build,Lean4-none,structured,3,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a3_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a3_FAIL.raw.md,,NOT_CHECKED,,,
82,claude-sonnet-4-6,obs_table_build,Lean4-none,structured,4,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a4_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a4_FAIL.raw.md,,NOT_CHECKED,,,
83,claude-sonnet-4-6,obs_table_build,Lean4-none,structured,5,FAIL,compiles=0 sorry=0,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a5_FAIL.lean,Lean4-none/claude-sonnet-4-6/obs_table_build/structured/a5_FAIL.raw.md,,NOT_CHECKED,,,
609,claude-sonnet-4-6,obs_table_closed,Lean4-mathlib,chain_of_thought,1,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_closed/chain_of_thought/a1_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_closed/chain_of_thought/a1_FAIL.raw.md,1,NOT_CHECKED,,exported .lean has only 98 of 5253 chars - READ raw_file INSTEAD,
610,claude-sonnet-4-6,obs_table_closed,Lean4-mathlib,chain_of_thought,2,FAIL,compiles=0 sorry=3,Lean4-mathlib/claude-sonnet-4-6/obs_table_closed/chain_of_thought/a2_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_closed/chain_of_thought/a2_FAIL.raw.md,,NOT_CHECKED,,,
611,claude-sonnet-4-6,obs_table_closed,Lean4-mathlib,chain_of_thought,3,ERROR,compiles=0 sorry=None,Lean4-mathlib/claude-sonnet-4-6/obs_table_closed/chain_of_thought/a3_ERROR.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_closed/chain_of_thought/a3_ERROR.raw.md,,NOT_CHECKED,,,
599,claude-sonnet-4-6,obs_table_closed,Lean4-mathlib,naive,1,FAIL,compiles=0 sorry=0,Lean4-mathlib/claude-sonnet-4-6/obs_table_closed/naive/a1_FAIL.lean,Lean4-mathlib/claude-sonnet-4-6/obs_table_closed/naive/a1_FAIL.raw.md,1,NOT_CHECKED,,exported .lean has only 12451 of 28906 chars - READ raw_file INSTEAD,
